City,Latitude,Longitude,Restaurant_Count
Antwerpen,51.2199302,4.414990299999999,437
Gent,51.0499922,3.7303853,309
Bruxelles,50.84770289999999,4.357200100000001,264
Leuven,50.8791453,4.7024648,174
Schaerbeek,50.8643377,4.3735116,110
Brugge,51.20845079999999,3.2250586,96
Oostende,51.22471849999999,2.9092214,85
Mechelen,51.0279827,4.4793443,84
Anderlecht,50.8289886,4.3044056,84
Deurne,51.2203758,4.4595994,56
Uccle,50.7956957,4.3736365,51
Ixelles,50.8278557,4.3714303,50
Laeken,50.8779248,4.3481374,48
Etterbeek,50.8305664,4.3899992,43
Hasselt,50.9304628,5.3324297,41
Sint-Niklaas,51.1657403,4.1370695,39
Aalst,50.9460841,4.0502929,38
Molenbeek-Saint-Jean,50.8589178,4.3120744,36
Genk,50.9662121,5.502028699999999,32
Jette,50.8854263,4.317266099999999,30
Forest,50.8202973,4.325840299999999,30
Berchem,51.1955771,4.4188392,30
Saint-Gilles,50.8269838,4.344431699999999,29
Waterloo,50.7007212,4.402148299999999,23
Lier,51.1334336,4.5675301,23
Evere,50.87481709999999,4.4034479,23
Merksem,51.2508917,4.4489277,22
Woluwe-Saint-Lambert,50.8415257,4.4337046,21
Vilvoorde,50.9262478,4.426356300000001,21
Wilrijk,51.1683102,4.3942868,20
Turnhout,51.3216148,4.9373026,20
Mortsel,51.1726912,4.4456969,20
Borgerhout,51.2090363,4.4488977,19
Wavre,50.7154207,4.617655699999999,18
Roeselare,50.9452778,3.1237049,18
Knokke-Heist,51.3411792,3.2870914,18
Brasschaat,51.3078944,4.5074231,18
Vilvorde,50.9262478,4.426356300000001,17
Heusden-Zolder,51.0262329,5.267462,17
Blankenberge,51.31241079999999,3.132483,17
Zaventem,50.8798599,4.4727755,16
Saint-Josse-ten-Noode,50.8499102,4.3730202,16
Mouscron,50.748264,3.2256382,16
Kortrijk,50.8270689,3.2603645,16
Bruxelles-Capitale,50.8260453,4.3802052,15
Boom,51.089961,4.3649477,14
Wijnegem,51.2271066,4.5194803,13
Waregem,50.8837851,3.4244789,13
Maasmechelen,50.9641222,5.6955081,13
Koekelberg,50.8633698,4.3293856,13
Hoboken,51.1771171,4.3532966,13
Oudenaarde,50.8459758,3.6022745,12
Lommel,51.23068319999999,5.3095115,12
Lokeren,51.1039354,3.989385199999999,12
Ieper,50.8576861,2.8712378,12
Geel,51.16258329999999,4.9908316,12
Ganshoren,50.8720636,4.313806899999999,12
Dendermonde,51.0256441,4.102013599999999,12
Auderghem,50.8165359,4.4263595,12
Asse,50.9106335,4.200210999999999,12
Tubize,50.6944925,4.2040202,11
Sint-Truiden,50.8186764,5.1816874,11
Ninove,50.8336761,4.0186393,11
Kessel-Lo,50.88514,4.73571,11
Hamme,51.0981157,4.1373212,11
Ekeren,51.2771047,4.4175641,11
Brussel,50.84770289999999,4.357200100000001,11
Beveren,51.2132887,4.2581365,11
Schoten,51.2538716,4.4911468,10
Mol,51.1839796,5.1151634,10
Lanaken,50.8920093,5.6569064,10
Herentals,51.1771481,4.8363428,10
Harelbeke,50.8566802,3.3105944,10
Dilbeek,50.8437677,4.2613601,10
Deinze,50.9791518,3.5309141,10
Woluwe-Saint-Pierre,50.83302399999999,4.431729,9
Nijlen,51.1610575,4.6700925,9
Molenbeek,50.8589178,4.3120744,9
Knokke,51.3467441,3.2894423,9
Kapellen,51.315014,4.429339,9
Heist-op-den-Berg,51.0725819,4.7238688,9
Diest,50.9794615,5.055685599999999,9
Bornem,51.0959792,4.232765,9
Wetteren,50.9988367,3.8820184,8
Tienen,50.8097182,4.9370128,8
Tielt,50.9984732,3.3342635,8
Sint-Amandsberg,51.0593304,3.7509905,8
Overijse,50.770559,4.540793,8
Liège,50.6402286,5.5689372,8
Ledeberg,51.0371743,3.7412237,8
Houthalen-Helchteren,51.0382829,5.3784999,8
Geraardsbergen,50.7778285,3.872234299999999,8
Eeklo,51.1852279,3.5641894,8
Borsbeek,51.1947846,4.47917,8
Beringen,51.0495481,5.228858,8
Anvers,51.2199302,4.414990299999999,8
Aarschot,50.9924094,4.8428813,8
Zonhoven,50.99116009999999,5.3682925,7
Zelzate,51.2024334,3.8096899,7
Willebroek,51.0600306,4.3602508,7
Visé,50.7378047,5.6956089,7
Temse,51.1275442,4.2136696,7
Schilde,51.2389346,4.5791463,7
Saint-Josse-Ten-Noode,50.8499102,4.3730202,7
Kontich,51.1346929,4.4448466,7
Grimbergen,50.9363515,4.3633877,7
Gand,51.0499922,3.7303853,7
Bilzen,50.8723874,5.5141443,7
Zottegem,50.8694877,3.8104565,6
Zele,51.0685806,4.0397802,6
Wemmel,50.90900629999999,4.3068726,6
Waremme,50.6980242,5.260365999999999,6
Tongeren,50.78220719999999,5.4607492,6
Putte,51.0548325,4.6287004,6
Maastricht,50.503887,4.469936,6
Leeuw-Saint-Pierre,50.7812959,4.2458165,6
Kalmthout,51.37918,4.4749,6
Izegem,50.9180566,3.2132491,6
Herent,50.9065243,4.669804,6
Erpe-Mere,50.9270256,3.9572981,6
Braine-l'Alleud,50.6852876,4.3752475,6
Berchem-Sainte-Agathe,50.8644399,4.297447,6
Alost,50.9460841,4.0502929,6
Woluwé-Saint-Lambert,50.8415257,4.4337046,5
Wevelgem,50.808847,3.1837075,5
Westerlo,51.0899291,4.9143336,5
Wachtebeke,51.16915729999999,3.858440899999999,5
Strombeek-Bever,50.9095358,4.3546661,5
Sint-Katelijne-Waver,51.07036670000001,4.5313672,5
Ronse,50.7498634,3.6039574,5
Oostkamp,51.1545991,3.235562,5
Neerpelt,51.22723999999999,5.43173,5
Malines,51.0279827,4.4793443,5
Leopoldsburg,51.1161316,5.258765299999999,5
Kampenhout,50.9406267,4.557150099999999,5
Heverlee,50.86260720000001,4.6958889,5
Hannut,50.6721248,5.0778474,5
Halle,50.7340969,4.2296554,5
Duffel,51.0950469,4.5045725,5
Diepenbeek,50.909164,5.4191575,5
Denderleeuw,50.89571429999999,4.0600795,5
Bree,51.1399117,5.5965832,5
Zemst,50.9851089,4.4649059,4
Wuustwezel,51.3892398,4.5907068,4
Woluwé-Saint-Pierre,50.83302399999999,4.431729,4
Tessenderlo,51.0673638,5.0955631,4
Stabroek,51.33228769999999,4.365715,4
Sint-Gillis-Waas,51.2252681,4.1160228,4
Peer,51.1311458,5.4585013,4
Nieuwpoort,51.1284445,2.7480108,4
Niel,51.1106688,4.332044799999999,4
Merelbeke,50.9958506,3.7454951,4
Merchtem,50.9574454,4.232112,4
Louvain,50.8791453,4.7024648,4
Londerzeel,51.0028752,4.2952604,4
Lessines,50.7124107,3.8250451,4
La Hulpe,50.73040229999999,4.482127699999999,4
Kuurne,50.8540688,3.2872085,4
Koksijde,51.1054198,2.6501728,4
Hoogstraten,51.40471849999999,4.7627454,4
Hemiksem,51.1452022,4.3382833,4
Haacht,50.9770626,4.6341242,4
Groot-Bijgaarden,50.8719066,4.2500012,4
Genval,50.7211,4.49388,4
Evergem,51.1107692,3.699309,4
Essen,51.4633827,4.4618515,4
Enghien,50.6917007,4.0338475,4
Edegem,51.1560818,4.4312048,4
Diegem,50.8940397,4.4362628,4
Buggenhout,51.0136488,4.201817900000001,4
Bredene,51.2465502,2.9578687,4
Balen,51.170373,5.1677219,4
Aartselaar,51.1379437,4.3781943,4
Aalter,51.0873719,3.4483399,4
Zulte,50.9220409,3.4439076,3
Zoersel,51.2703297,4.7137306,3
Zandhoven,51.2134425,4.656266899999999,3
Wommelgem,51.20309899999999,4.5225617,3
Wolvertem,50.95088,4.30927,3
Watermael-Boitsfort,50.7966762,4.417794,3
Vosselaar,51.3131256,4.888201,3
Tremelo,50.9911852,4.7036654,3
Sint-Pieters-Leeuw,50.7812959,4.2458165,3
Sint-Lievens-Houtem,50.9202407,3.859262,3
Scherpenheuvel-Zichem,50.9800833,4.9753544,3
Schaarbeek,50.8643377,4.3735116,3
Rumst,51.10112179999999,4.4126516,3
Riemst,50.81177539999999,5.5951168,3
Ranst,51.1878447,4.5639057,3
Poperinge,50.8558252,2.7254617,3
Pelt,51.2284094,5.4342882,3
Overpelt,51.1970553,5.3970123,3
Oud-Turnhout,51.3178814,4.9822136,3
Opwijk,50.9696888,4.1800803,3
Oostduinkerke,51.1172798,2.6901458,3
Middelkerke,51.1851395,2.8207939,3
Menin,50.79683439999999,3.126679,3
Menen,50.79683439999999,3.126679,3
Malle,51.2968076,4.6941671,3
Maldegem,51.2090311,3.4486286,3
Machelen,50.912833,4.4332364,3
Maaseik,51.09616760000001,5.7864575,3
Liedekerke,50.8692825,4.0876947,3
Lembeek,50.7140616,4.220043599999999,3
Lede,50.9651705,3.9773105,3
Lebbeke,51.0001109,4.128039,3
Lasne,50.6865073,4.4840992,3
Kruibeke,51.1705936,4.3124018,3
Kraainem,50.8617254,4.4572714,3
Kortenberg,50.8883743,4.5440122,3
Keerbergen,51.0030132,4.6321239,3
Houthalen,51.03146270000001,5.376354099999999,3
Hamont-Achel,51.2510217,5.5424821,3
Halluin,50.503887,4.469936,3
Hal,50.7340969,4.2296554,3
Grobbendonk,51.1909946,4.7385192,3
Grez-Doiceau,50.73845499999999,4.6981438,3
Gentbrugge,51.0432117,3.7592682,3
Elsene,50.8278557,4.3714303,3
Drogenbos,50.7946129,4.3138957,3
Dilsen-Stokkem,51.0360931,5.7294209,3
Brussel-Hoofdstad,50.8475937,4.3573821,3
Bruges,51.20845079999999,3.2250586,3
Braine-le-Château,50.6831281,4.2936995,3
Boortmeerbeek,50.9760315,4.561166399999999,3
Beverlo,51.0873,5.21898,3
Berlaar,51.11828449999999,4.6594893,3
Alsemberg,50.74163,4.33613,3
,50.503887,4.469936,3
Zwijndrecht,51.2190746,4.3264876,2
Zwevegem,50.8130329,3.3328026,2
Woluwe Saint-Lambert,50.8415257,4.4337046,2
Wilsele,50.8967552,4.7053468,2
Wezembeek-Oppem,50.840067,4.4937248,2
Wervik,50.77827139999999,3.0440352,2
Waarloos,51.105061,4.454695900000001,2
Ukkel,50.7956957,4.3736365,2
Torhout,51.0624326,3.1026301,2
Tervuren,50.8257627,4.5078285,2
Stekene,51.2025711,4.0381912,2
Spiere-Helkijn,50.7179671,3.3569882,2
Sleidinge,51.1319702,3.6789117,2
Sittard,50.503887,4.469936,2
Sint-Lambrechts-Woluwe,50.8415257,4.4337046,2
Sint-Andries,51.1972024,3.1794755,2
Schepdaal,50.8383485,4.1958272,2
Saint Josse Ten Noode,50.8499102,4.3730202,2
Ruisbroek,51.08799,4.33107,2
Rixensart,50.71225039999999,4.527667999999999,2
Rijmenam,51.00204590000001,4.5856815,2
Rijkevorsel,51.3500167,4.7594946,2
Oupeye,50.7093163,5.6442252,2
Ostende,51.22471849999999,2.9092214,2
Oostrozebeke,50.9210134,3.3392762,2
Oostakker,51.09971299999999,3.7642304,2
Neder-over-Heembeek,50.8953309,4.3880767,2
Nazareth,50.9596361,3.5956111,2
Moorslede,50.8911974,3.0633592,2
Merksplas,51.3580982,4.8635076,2
Melle,51.0007376,3.8057456,2
Meerhout,51.132046,5.0770635,2
Lochristi,51.0991754,3.8445454,2
Lille,51.2418237,4.8232371,2
Lennik,50.8053171,4.1545677,2
Lendelede,50.8862647,3.2383572,2
Landen,50.74833719999999,5.0810705,2
Kuringen,50.94387,5.29789,2
Kinrooi,51.1454897,5.7418881,2
Kessel,51.13915,4.62968,2
Kermt,50.94767,5.246760000000001,2
Kalken,51.0383253,3.9183591,2
Jodoigne,50.7233856,4.8712491,2
Ichtegem,51.1212064,3.0337158,2
Hulshout,51.0756472,4.7889894,2
Hoeselt,50.8497764,5.4910687,2
Herselt,51.0535867,4.8829497,2
Hamont,51.25272,5.54953,2
Grand-Bigard,50.8719066,4.2500012,2
Ghent,51.0499922,3.7303853,2
Geetbets,50.8888913,5.1657039,2
Frasnes-lez-Anvaing,50.6667703,3.6194938,2
Ertvelde,51.1787632,3.7466865,2
Drongen,51.054011,3.6615363,2
Diksmuide,51.0317365,2.8638919,2
Destelbergen,51.0558591,3.7949533,2
Dessel,51.2392168,5.1129213,2
De Klinge,51.25620600000001,4.090040699999999,2
De Haan,51.2725443,3.0335793,2
Buizingen,50.741419,4.2500475,2
Brecht,51.3496652,4.6379832,2
Braine l'Alleud,50.6852876,4.3752475,2
Boutersem,50.8410754,4.8347722,2
Borgloon,50.8033729,5.3334245,2
Booischot,51.05151,4.77523,2
Boechout,51.1662505,4.496432899999999,2
Beveren-Waas,51.2132887,4.2581365,2
Betekom,50.98566,4.7817,2
Berlare,51.0252056,4.003722,2
Belsele,51.1428369,4.0861828,2
Begijnendijk,51.0187914,4.7826539,2
Aubel,50.7043899,5.858471799999999,2
Arendonk,51.32277490000001,5.0775438,2
Antwerp,51.2199302,4.414990299999999,2
Ans,50.6638539,5.5115031,2
Alken,50.8748926,5.305571599999999,2
Zwijnaarde,50.99980619999999,3.7106183,1
Zutendaal,50.93198599999999,5.572415899999999,1
Zoutleeuw,50.8323245,5.1045143,1
Zomergem,51.1192868,3.5644511,1
Zoerle-Porwijs,51.08879,4.868939999999999,1
Zellik,50.88449,4.27401,1
Zeebrugge,51.3315136,3.2062847,1
Zammel (Geel),51.1015,4.94856,1
Wondelgem,51.09050089999999,3.7160657,1
Woluwe-Sint-Lambrecht,50.8456203,4.4175388,1
Woluwe-Saint-Etienne,50.8691316,4.450322799999999,1
Woluwe saint lambert,50.8456203,4.4175388,1
Wingene,51.0579554,3.277482,1
Wezembeek,50.840067,4.4937248,1
Westmeerbeek,51.06032,4.8351,1
Westmalle,51.2968136,4.694263299999999,1
Westende,51.1687058,2.7759824,1
Wervick-Sud,50.77032,3.0480489,1
Wenduine,51.2976457,3.0830791,1
Wellen,50.8415407,5.3303698,1
Weelde,51.406763,4.9908357,1
Wauthier-Braine,50.68121,4.29806,1
Wauthier Braine,50.68121,4.29806,1
Waasmunster,51.1110222,4.0876445,1
Waarschoot,51.1514819,3.6060488,1
Vrasene,51.2193961,4.1944794,1
Vorst,50.8202973,4.325840299999999,1
Vissenaken,50.83768,4.90484,1
Vise,50.7378047,5.6956089,1
Virginal,39.3237019,-80.1161923,1
Veurne,51.0726963,2.6625315,1
Valkenswaard,51.3554957,5.4533268,1
Tubeke,50.6944925,4.2040202,1
Tournai,50.6127324,3.379139,1
Tielen,51.2434976,4.8976789,1
Testelt,51.016921,4.9549334,1
Ternat,50.8699819,4.160936100000001,1
Termonde,51.0256441,4.102013599999999,1
Strombeek,50.9095358,4.3546661,1
Steenokkerzeel,50.91912,4.501839299999999,1
Steenhuffel,50.99577,4.26716,1
Staden,50.9746466,3.0146178,1
St-Niklaas,51.1657403,4.1370695,1
Sluis,51.21108,5.135520000000001,1
Sint-Stevens-Woluwe,50.8691316,4.450322799999999,1
Sint-Pieters-Woluwe,50.83302399999999,4.431729,1
Sint-Pauwels,51.193303,4.0977458,1
Sint-Michiels,51.1858939,3.2082098,1
Sint-Kwintens-Lennik,50.80422,4.154809999999999,1
Sint-Kruis,51.21429699999999,3.2512976,1
Sint-Josse-ten-Noode,50.8499102,4.3730202,1
Sint-Josse-Ten-Noode,50.8499102,4.3730202,1
Sint-Joost-ten-Node,50.8499102,4.3730202,1
Sint-Job-In-'t-Goor (Brecht),51.29729950000001,4.5738455,1
Sint-Jans-Moleenbeek,50.8589178,4.3120744,1
Sint-Gilles,50.8268879,4.3446733,1
Sint-Eloois-Winkel,50.8762769,3.1823566,1
Sint-Amands,51.054855,4.2050401,1
Sint- Andries,51.1972024,3.1794755,1
Sint pieters woluwe,50.83302399999999,4.431729,1
Sint Niklaas,51.1657403,4.1370695,1
Sint Michiels,51.1858939,3.2082098,1
Sint Josse Ten Noode,50.8499102,4.3730202,1
Sinaai,51.1563307,4.0444238,1
Scherpenheuvel,50.9801333,4.9753378,1
Schaffen-Diest,51.01086400000001,5.099756999999999,1
Saintes,50.70615,4.15817,1
Saint-josse-ten-noode,50.8499102,4.3730202,1
Saint-Trond,50.8186764,5.1816874,1
Saint-Nicolas,50.6402849,5.523139899999999,1
Rupelmonde,51.1274074,4.2903448,1
Ruislede,51.0413499,3.3970884,1
Rotselaar,50.9502027,4.7115345,1
Roosendaal,51.535849,4.465321299999999,1
Roosdaal,50.8428641,4.0759748,1
Rocourt,50.67592140000001,5.545947399999999,1
Roccourt,50.67592140000001,5.545947399999999,1
Rillaar,50.97438,4.89422,1
Rhode-Saint-Genèse,50.7432603,4.3465049,1
Rhode Saint Genèse,50.7432603,4.3465049,1
Renaix,50.7498634,3.6039574,1
Rekkem,50.782807,3.1641132,1
Reet,51.10113339999999,4.4125882,1
Ravels,51.371407,4.9936552,1
Ramsel,51.03211,4.8328,1
Putte-Kapellen,51.35326999999999,4.39672,1
Oudsbergen,51.0980576,5.518132899999999,1
Oudergem,50.8165359,4.4263595,1
Oud-Heverlee,50.8260579,4.7023053,1
Ossendrecht,50.503887,4.469936,1
Oreye,50.7308698,5.344570699999999,1
Ophasselt,50.82118209999999,3.8913282,1
Opglabbeek,51.04316,5.58412,1
Oosterzele,50.9384372,3.7856038,1
Oordegem,50.9565245,3.9028634,1
Olsene,50.9362129,3.4657328,1
Olen,51.1687461,4.9039816,1
Okselaar,51.03434,5.01203,1
Oevel,51.1387198,4.9042615,1
Oelegem,51.2129972,4.599714899999999,1
Noorderwijk (Herentals),51.1393923,4.8388348,1
Nieuwkerken-Waas,51.1935108,4.177540100000001,1
Nieuwerkerken,50.8647465,5.1885873,1
Nieppe,50.503887,4.469936,1
Neupré,50.54325679999999,5.4877416,1
Neerlinter,50.8398055,5.022196999999999,1
Neder-Over-Heembeek,50.8953309,4.3880767,1
Munster Bilzen,50.88973259999999,5.5261669,1
Moorsele,50.8405959,3.1646335,1
Meulebeke,50.94865129999999,3.2901275,1
Meise,50.9358975,4.3293883,1
Maastricht West,50.503887,4.469936,1
Lummen,50.9936301,5.197123599999999,1
Lubbeek,50.8816717,4.84146,1
Louvain-la-Neuve,50.66808100000001,4.6118324,1
Loppem,51.1559088,3.1959225,1
Lombardsijde-Bad,51.15626,2.74546,1
Lint,51.1272842,4.4969214,1
Linkeroever,51.2205082,4.3782374,1
Linkebeek,50.7700457,4.3346411,1
Linden (Lubbeek),50.89393,4.77215,1
Lierde,50.8151322,3.824951099999999,1
Laken,50.8779248,4.3481374,1
Laakdal,51.06995209999999,4.9872526,1
Kumtich (Tienen),50.82246,4.88742,1
Kruishoutem,50.90449899999999,3.5281414,1
Kortrijk-Dutsel,50.9266825,4.8055097,1
Kortenaken,50.9089882,5.0600613,1
Kortemark,51.0309454,3.0438624,1
Koersel,51.05844,5.27176,1
Knocke-Heist,51.3411792,3.2870914,1
Kiel,51.19024539999999,4.3786055,1
Kester,50.76428,4.11935,1
Kessel-lo,50.88514,4.73571,1
Kessel-Lo (Leuven),50.88514,4.73571,1
Kasterlee,51.2408811,4.9664674,1
Kapelle-op-den-Bos,51.0111319,4.3608915,1
Kanne,50.814055,5.6693136,1
Jeuk,50.73427,5.20969,1
Ittervoort,50.503887,4.469936,1
Itegem,51.10321,4.72927,1
Hove,51.15417960000001,4.4724334,1
Houthalen-Oost,51.020885,5.469392,1
Hoogstraten-Meerle,51.4733516,4.803769,1
Hombeek,51.014356,4.442769699999999,1
Holsbeek,50.9257403,4.8078558,1
Hoepertingen,50.81235,5.283679999999999,1
Hoegaarden,50.7741724,4.8872957,1
Hever,50.995,4.55135,1
Herzele,50.88449079999999,3.892864299999999,1
Herstal,50.66463470000001,5.630307699999999,1
Hermalle,50.7112191,5.6800351,1
Herenthout,51.1390868,4.756664499999999,1
Herenthals,51.1771481,4.8363428,1
Helecine,50.75931139999999,4.9893181,1
Hekelgem,50.9072267,4.108495599999999,1
Heist-Op-Den-Berg,51.0725819,4.7238688,1
Heers,50.7537645,5.3022022,1
Hechtel-Eksel,51.1249341,5.367727599999999,1
Hechtel,51.1252349,5.3661124,1
Hasselt-Spalbeek,50.9486672,5.2247223,1
Ham,51.104129,5.1768601,1
Halle-Booienhoven,50.80475,5.11168,1
Halen,50.9495952,5.115205599999999,1
Haasdonk,51.1810333,4.2378789,1
Haaltert,50.9017901,4.0069576,1
Grembergen,51.0550925,4.1056631,1
Gistel,51.1495138,2.9539629,1
Gijzegem,50.9837657,4.051057999999999,1
Gierle,51.2671512,4.8677063,1
Galmaarden,50.7497978,3.9716375,1
Frasnes,50.6667703,3.6194938,1
Fexhe-le-Haut-Clocher,50.6652806,5.3994912,1
Estaimpuis,50.6874581,3.2706078,1
Erembodegem,50.9206095,4.060892,1
Eppegem,50.9621231,4.4544329,1
Eksel,51.1546138,5.394354499999999,1
Eke,50.9568208,3.6416381,1
Eisden,50.9854566,5.714076899999999,1
Eindhout,51.0988595,5.0008238,1
Eigenbrakel,50.6852876,4.3752475,1
Eernegem,51.1295248,3.0274313,1
Echt,50.503887,4.469936,1
Dworp,50.72949,4.301089999999999,1
Dranouter,50.76591939999999,2.7829724,1
Dormaal,50.80722,5.0985,1
Denderhoutem,50.8709652,4.0184815,1
De Panne,51.0954838,2.5887526,1
Dalhem,50.7133704,5.7228273,1
Courtrai,50.8270689,3.2603645,1
Comines-Warneton,50.726584,2.8806397,1
Comines,50.76874590000001,2.9997061,1
Chaumont-Gistoux,50.6835524,4.694995899999999,1
Burcht,51.20367,4.34148,1
Bunsbeek,50.84216499999999,4.9426464,1
Buggenhout (Opdorp),51.02806,4.21918,1
Brugge Sint-Kruis,51.21429699999999,3.2512976,1
Brugge Sint-Andries,51.1972024,3.1794755,1
Broechem,51.1813334,4.6020124,1
Braine-l’Alleud,50.6852876,4.3752475,1
Braine-le-Comte,50.6105335,4.135505,1
Braine-Le-Comte,50.6105335,4.135505,1
Bouwel,51.1719684,4.7420582,1
Bocholt,51.1729873,5.5787505,1
Beringen-mijn,51.07839999999999,5.22598,1
Berendrecht,51.34287,4.31409,1
Berchem-Saint-Agathes,50.8644399,4.297447,1
Berchem sainte Agathe,50.8644399,4.297447,1
Beersel,50.7670322,4.3081003,1
Baarle-Nassau,50.503887,4.469936,1
Baarle-Hertog,51.4418257,4.9317107,1
Baardegem,50.9549555,4.141577,1
Awans,50.6836035,5.4618914,1
Averbode,51.0305467,4.977454,1
Ath,50.6342274,3.772344,1
Assebroek,51.20202339999999,3.2550607,1
As,50.9993401,5.5771742,1
Ardooie,50.978289,3.1985825,1
Anzegem,50.8326375,3.4784864,1
Anwterpen,51.2199302,4.414990299999999,1
Antwerpen-Zuid,51.2084467,4.391418,1
Affligem,50.9125155,4.111778,1
Aarstelaar,51.1379437,4.3781943,1
Aarsele,50.99693430000001,3.4224989,1
1040,50.8335737,4.3943477,1
